country,date,population
Poland,01/03/22,0
Poland,02/03/22,547982
Poland,03/03/22,649903
Poland,04/03/22,756303
Poland,05/03/22,885303
Poland,06/03/22,1027603
Poland,07/03/22,0
Poland,08/03/22,1412503
Poland,09/03/22,0
Poland,10/03/22,0
Poland,11/03/22,1575703
Poland,12/03/22,1655503
Poland,13/03/22,1720227
Poland,14/03/22,0
Poland,15/03/22,1857045
Poland,16/03/22,1916445
Poland,17/03/22,0
Poland,18/03/22,2010693
Poland,19/03/22,2050392
Poland,20/03/22,2083854
Poland,21/03/22,2113554
Poland,22/03/22,2144244
Poland,23/03/22,2173944
Poland,24/03/22,2206119
Poland,25/03/22,2236314
Poland,26/03/22,2267103
Poland,27/03/22,2293833
Poland,28/03/22,0
Poland,29/03/22,2336799
Poland,30/03/22,2362044
Poland,31/03/22,2384814
Poland,01/04/22,2405703
Poland,02/04/22,2429265
Poland,03/04/22,2451342
Poland,04/04/22,2469657
Hungary,01/03/22,0
Hungary,02/03/22,133009
Hungary,03/03/22,144738
Hungary,04/03/22,157004
Hungary,05/03/22,169053
Hungary,06/03/22,180163
Hungary,07/03/22,191348
Hungary,08/03/22,214160
Hungary,09/03/22,0
Hungary,10/03/22,225046
Hungary,11/03/22,235576
Hungary,12/03/22,246206
Hungary,13/03/22,255291
Hungary,14/03/22,263888
Hungary,15/03/22,272943
Hungary,16/03/22,282611
Hungary,17/03/22,291230
Hungary,18/03/22,299273
Hungary,19/03/22,305518
Hungary,20/03/22,312120
Hungary,21/03/22,317863
Hungary,22/03/22,324397
Hungary,23/03/22,330877
Hungary,24/03/22,336701
Hungary,25/03/22,342738
Hungary,26/03/22,349107
Hungary,27/03/22,354041
Hungary,28/03/22,0
Hungary,29/03/22,364804
Hungary,30/03/22,368807
Hungary,31/03/22,374535
Hungary,01/04/22,379988
Hungary,02/04/22,385783
Hungary,03/04/22,390302
Hungary,04/04/22,394728
Republic of Moldova,01/03/22,0
Republic of Moldova,02/03/22,97827
Republic of Moldova,03/03/22,103254
Republic of Moldova,04/03/22,0
Republic of Moldova,05/03/22,84067
Republic of Moldova,06/03/22,82762
Republic of Moldova,07/03/22,0
Republic of Moldova,08/03/22,0
Republic of Moldova,09/03/22,0
Republic of Moldova,10/03/22,104929
Republic of Moldova,11/03/22,0
Republic of Moldova,12/03/22,0
Republic of Moldova,13/03/22,106994
Republic of Moldova,14/03/22,337215
Republic of Moldova,15/03/22,344454
Republic of Moldova,16/03/22,350886
Republic of Moldova,17/03/22,355426
Republic of Moldova,18/03/22,359056
Republic of Moldova,19/03/22,362514
Republic of Moldova,20/03/22,365197
Republic of Moldova,21/03/22,367913
Republic of Moldova,22/03/22,371104
Republic of Moldova,23/03/22,374059
Republic of Moldova,24/03/22,376748
Republic of Moldova,25/03/22,379204
Republic of Moldova,26/03/22,381395
Republic of Moldova,27/03/22,383627
Republic of Moldova,28/03/22,0
Republic of Moldova,29/03/22,387151
Republic of Moldova,30/03/22,388837
Republic of Moldova,31/03/22,390187
Republic of Moldova,01/04/22,391592
Republic of Moldova,02/04/22,392933
Republic of Moldova,03/04/22,394740
Republic of Moldova,04/04/22,396448
Slovakia,01/03/22,0
Slovakia,02/03/22,72200
Slovakia,03/03/22,90329
Slovakia,04/03/22,101529
Slovakia,05/03/22,113967
Slovakia,06/03/22,128169
Slovakia,07/03/22,140745
Slovakia,08/03/22,0
Slovakia,09/03/22,165199
Slovakia,10/03/22,176092
Slovakia,11/03/22,185673
Slovakia,12/03/22,195980
Slovakia,13/03/22,204862
Slovakia,14/03/22,213000
Slovakia,15/03/22,220977
Slovakia,16/03/22,228844
Slovakia,17/03/22,234738
Slovakia,18/03/22,240009
Slovakia,19/03/22,245569
Slovakia,20/03/22,250036
Slovakia,21/03/22,253592
Slovakia,22/03/22,256838
Slovakia,23/03/22,260244
Slovakia,24/03/22,263959
Slovakia,25/03/22,267702
Slovakia,26/03/22,272012
Slovakia,27/03/22,275439
Slovakia,28/03/22,0
Slovakia,29/03/22,281172
Slovakia,30/03/22,283824
Slovakia,31/03/22,292039
Slovakia,01/04/22,294885
Slovakia,02/04/22,298183
Slovakia,03/04/22,301405
Slovakia,04/04/22,0
Romania,01/03/22,0
Romania,02/03/22,51261
Romania,03/03/22,57192
Romania,04/03/22,63192
Romania,05/03/22,71640
Romania,06/03/22,78977
Romania,07/03/22,0
Romania,08/03/22,84671
Romania,09/03/22,0
Romania,10/03/22,0
Romania,11/03/22,0
Romania,12/03/22,0
Romania,13/03/22,0
Romania,14/03/22,453432
Romania,15/03/22,467703
Romania,16/03/22,491409
Romania,17/03/22,508692
Romania,18/03/22,518269
Romania,19/03/22,527247
Romania,20/03/22,535461
Romania,21/03/22,543308
Romania,22/03/22,555021
Romania,23/03/22,563519
Romania,24/03/22,572754
Romania,25/03/22,579800
Romania,26/03/22,586942
Romania,27/03/22,595868
Romania,28/03/22,0
Romania,29/03/22,608936
Romania,30/03/22,616592
Romania,31/03/22,623627
Romania,01/04/22,629917
Romania,02/04/22,635816
Romania,03/04/22,643058
Romania,04/04/22,648410
Russian Federation,01/03/22,0
Russian Federation,02/03/22,47800
Russian Federation,03/03/22,53300
Russian Federation,04/03/22,0
Russian Federation,05/03/22,0
Russian Federation,06/03/22,0
Russian Federation,07/03/22,0
Russian Federation,08/03/22,99300
Russian Federation,09/03/22,97098
Russian Federation,10/03/22,105897
Russian Federation,11/03/22,0
Russian Federation,12/03/22,0
Russian Federation,13/03/22,131365
Russian Federation,14/03/22,142994
Russian Federation,15/03/22,155841
Russian Federation,16/03/22,168858
Russian Federation,17/03/22,184563
Russian Federation,18/03/22,0
Russian Federation,19/03/22,0
Russian Federation,20/03/22,231764
Russian Federation,21/03/22,252376
Russian Federation,22/03/22,271254
Russian Federation,23/03/22,0
Russian Federation,24/03/22,0
Russian Federation,25/03/22,0
Russian Federation,26/03/22,0
Russian Federation,27/03/22,0
Russian Federation,28/03/22,0
Russian Federation,29/03/22,350632
Russian Federation,30/03/22,0
Russian Federation,31/03/22,0
Russian Federation,01/04/22,0
Russian Federation,02/04/22,0
Russian Federation,03/04/22,0
Russian Federation,04/04/22,0
Belarus,01/03/22,357
Belarus,02/03/22,357
Belarus,03/03/22,384
Belarus,04/03/22,406
Belarus,05/03/22,0
Belarus,06/03/22,0
Belarus,07/03/22,453
Belarus,08/03/22,0
Belarus,09/03/22,765
Belarus,10/03/22,858
Belarus,11/03/22,938
Belarus,12/03/22,0
Belarus,13/03/22,1226
Belarus,14/03/22,1475
Belarus,15/03/22,1816
Belarus,16/03/22,2127
Belarus,17/03/22,2548
Belarus,18/03/22,0
Belarus,19/03/22,0
Belarus,20/03/22,3765
Belarus,21/03/22,4308
Belarus,22/03/22,4938
Belarus,23/03/22,5569
Belarus,24/03/22,6341
Belarus,25/03/22,0
Belarus,26/03/22,0
Belarus,27/03/22,9075
Belarus,28/03/22,0
Belarus,29/03/22,10902
Belarus,30/03/22,11821
Belarus,31/03/22,12746
Belarus,01/04/22,0
Belarus,02/04/22,0
Belarus,03/04/22,15281
Belarus,04/04/22,16274